呵	;kk;kk;kk;dz;ks;kk;kh;kh
嗄	;kw;kw;kx;dh;kd;kw;kh;kh
錒	;jk;jk;ja;zz;qb;;jv
𠼞	;ry;ry;hy;jc;wg;;
𥥩	;bk;bk;xx;ed;pw;;
𨉚	;ud;ud;uy;za;tm;;
愛	;vw;pw;vw,xw;yh;ep;;pd
捱	;ft;ft;fy;ug;rd;ft;fh;fh
礙	;uy;ur;uy;mt;dx;;hp
娭	;nu;nu;ny;bo;vc;;nv
薆	;cw;cw;ca;lh;ae;;cd
靉	;yw;yw;ya;th;ff;;hp
曖	;ow;ow;oa;oh;je;;lp
欬	;qh;wr;qh;ke;yn;;dp
餲	;uh;rv;uh;qf;wp,wy;;rl
噯	;kw;kw;ka;dh;ke;;kp
敳	;wq;ew;wd,wq;vh;mg;;sp
懓	;xw;xw;xa;hh;ne;;xp
硙	;uj;uj;uq,uy;mv;dm;uj;hs;bg
僾	;rw;rw;ra;jh;we;;rp
藹	;cy;cv;ch,cy;lf;ay;;cv
溰	;dq;da;dd,dq;kz;im;;us
焥	;hv;hv;hw;cz;op;;qb
嬡	;nw;nw;na;bh;ve;;np
懝	;xy;xr;xy;ht;nx;;xp
瞹	;ow;ow;oa;qh;he;;sp
諰	;ys;wx;ys;sh;yl;;as
隑	;eq;ea;ed,eq;tz;bm;;vs
靄	;yy;yv;yh,yy;tf;fy;;hv
凒	;dq;da;dd,dq;wz;um;;ds
啀	;kt;kt;ky;dg;kd;;kh
娾	;nt;nt;ny;bg;vd;;nh
昹	;oy;oy;oy;ok;jy;;ld
溾	;dg;dg;dg;ka;ir;;up
濭	;dm;dm;dg,dm;ka;ia;;uc
硋	;ur;ur;uh;mk;dy;;hd
磑	;uq;ua;ud,uq;mz;dm;;hs
銰	;jx;jx;ja;zb;qa;;
鎄	;ja;jy;ja;zd;qy;;jd
鑀	;jw;jw;ja;zh;qe;;jp
㑸	;rk;rk;rk;jz;wd;;
㕌	;ic;ic;id;xk;dj;;
㗒	;ka;ky;ka;dd;ky;;
㗨	;kk;kk;ky;nd;at;;
㘷	;tx;tx;ta;gb;fa;;
㝶	;sc;sc;cs;yk;lq;;
㢊	;gk;gk;yq;xz;yd;;
㤅	;xw;ax;xj;dh;aq;;
㱯	;dq;da;dq;gz;gq;;
㿄	;by;by;by;ar;ua;;
䀳	;ou;ou;ou;qx;hg;;
䅬	;hm;hm;hy;xa;tu;;
䑂	;ob;ob;oy;vh;ev;;
䔽	;ck;cv;ck;lf;ai;;
䝽	;by;ot;by;og;md;;
䨠	;yh;yv;yh;tf;fj;;
䬵	;uh;rr;uh;qk;wy;;
䶣	;iq;va;iq;lz;hb;;
伌	;rv;rv;re;jz;wd;;rh
嘊	;kt;kt;ky;dg;km;;ks
堨	;tv;tv;th;gf;fj;tv;tl;tl
塧	;tm;tm;ty;ga;fu;;td
壒	;tm;tm;tg,tm;ga;fa;;tc
嵦	;uq;ea;ud,uq;vz;mm;;ss
敱	;uy;ey;uq;vh;mg;;ss
璦	;ww;ww;wa;nh;ge;;wp
皚	;bq;ba;bd,bq;uz;rm;;ps
皧	;bw;bw;ba;uh;re;;pp
絠	;sy;yo;sy;iv;xd;;ih
譪	;yg;wv;yg;sf;ya;;ac
譺	;yy;wr;yy;st;yx;;ap
賹	;by;om;by;oa;mu;;sd
躷	;un;un;uw;zb;tm;;pe
馤	;xh;hv;xh;xf;tj;;el
鱫	;ya;aw;ya;wh;qo;;pp
鴱	;cn;cn;na;lx;aq;;cp
𠊎	;rt;rt;ry,rg;jg;wd;;
𠳳	;km;km;kd;de;kk;;
𡁍	;hq;kr;hq;de;kp;;
𡉓	;tn;tn;tn;gb;fv;;
𡟓	;na;ny;na;bd;vy;;
𡰽	;uy;uy;uy;co;nd;;
𡶃	;uy;ev;uy;va;my;;
𢟪	;gx;gx;xj,jx;ih;vc;;
𢟰	;xu;xu;xy,xu;hj;nu;;
𢣏	;xm;xm;xg;ha;na;;
𢣕	;bx;bx;xy,yx;vh;xt;;
𢰇	;fu;fu;fs;uo;rw;;
𣋞	;om;om;og;oa;ja;;
𣜬	;mw;mw;ma;eh;se;;
𣝅	;my;mr;my;et;sx;;
𣤃	;bn;bn;bn,qn;vv;xf;;
𣩄	;dm;dm;dg;ga;gq;;
𣩱	;dm;dm;dg;ga;gq;;
𤢵	;ql;qy;ql;mv;qt;;
